"","0:Male","1:Male","0:Female","1:Female","p","test"
"n"," 10127","200077"," 13151","289371","",""
"bmi_calc (mean (SD))"," 24.47 (3.38)"," 23.38 (3.23)"," 25.24 (3.76)"," 23.75 (3.43)","<0.001",""
"bmi_group (%)","  ","","  ","","<0.001",""
"   <18.5","   331 ( 3.3) ","  9094 ( 4.5) ","   364 ( 2.8) "," 12572 ( 4.3) ","",""
"   18.5-23.9","  4146 (40.9) ","109103 (54.5) ","  4571 (34.8) ","148062 (51.2) ","",""
"   24.0-27.9","  4215 (41.6) "," 64608 (32.3) ","  5298 (40.3) "," 96019 (33.2) ","",""
"   =28.0","  1434 (14.2) "," 17272 ( 8.6) ","  2917 (22.2) "," 32718 (11.3) ","",""
"waist_hip_ratio (mean (SD))","  0.92 (0.07)","  0.90 (0.06)","  0.89 (0.07)","  0.87 (0.07)","<0.001",""
"whr_group (%)","  ","","  ","","<0.001",""
"   Normal","  3341 (33.0) "," 91363 (45.7) ","  3467 (26.4) ","115286 (39.8) ","",""
"   Overweight","  3046 (30.1) "," 57547 (28.8) ","  3579 (27.2) "," 79945 (27.6) ","",""
"   Obese","  3740 (36.9) "," 51167 (25.6) ","  6105 (46.4) "," 94140 (32.5) ","",""
"fat_percent (mean (SD))"," 23.10 (6.28)"," 21.92 (6.21)"," 34.79 (7.44)"," 31.97 (7.08)","<0.001",""
"fat_body_mass_kg (mean (SD))"," 15.95 (6.36)"," 14.53 (6.15)"," 21.44 (7.71)"," 18.60 (6.84)","<0.001",""
"lean_body_mass_kg (mean (SD))"," 50.98 (6.52)"," 49.51 (6.12)"," 38.47 (4.31)"," 37.95 (4.12)","<0.001",""
"sbp_mean (mean (SD))","142.35 (22.89)","132.34 (19.77)","140.44 (24.69)","129.39 (21.74)","<0.001",""
"sbp_group (%)","  ","","  ","","<0.001",""
"   <120","  1445 (14.3) "," 53408 (26.7) ","  2577 (19.6) ","105745 (36.5) ","",""
"   120-139","  3572 (35.3) "," 87283 (43.6) ","  4485 (34.1) ","106220 (36.7) ","",""
"   =140","  5110 (50.5) "," 59386 (29.7) ","  6089 (46.3) "," 77406 (26.7) ","",""
"random_glucose (mean (SD))","  6.71 (3.08)","  5.93 (2.28)","  7.03 (3.24)","  6.10 (2.28)","<0.001",""
"random_glucose_group (%)","  ","","  ","","<0.001",""
"   <5.8","  4673 (46.1) ","120042 (60.0) ","  5111 (38.9) ","156081 (53.9) ","",""
"   5.8-7.7","  3670 (36.2) "," 60138 (30.1) ","  5349 (40.7) ","104287 (36.0) ","",""
"   7.8-11","  1021 (10.1) "," 10895 ( 5.4) ","  1508 (11.5) "," 15982 ( 5.5) ","",""
"   =11","   763 ( 7.5) ","  9002 ( 4.5) ","  1183 ( 9.0) "," 13021 ( 4.5) ","",""
