"","0","1","p","test"
"n"," 23278","489448","",""
"bmi_calc (mean (SD))"," 24.91 (3.62)"," 23.60 (3.36)","<0.001",""
"bmi_group (%)"," ","","<0.001",""
"   <18.5","   695 ( 3.0) "," 21666 ( 4.4) ","",""
"   18.5-23.9","  8717 (37.5) ","257165 (52.5) ","",""
"   24.0-27.9","  9513 (40.9) ","160627 (32.8) ","",""
"   =28.0","  4351 (18.7) "," 49990 (10.2) ","",""
"waist_hip_ratio (mean (SD))","  0.90 (0.07)","  0.88 (0.07)","<0.001",""
"whr_group (%)"," ","","<0.001",""
"   Normal","  6808 (29.2) ","206649 (42.2) ","",""
"   Overweight","  6625 (28.5) ","137492 (28.1) ","",""
"   Obese","  9845 (42.3) ","145307 (29.7) ","",""
"fat_percent (mean (SD))"," 29.71 (9.06)"," 27.87 (8.36)","<0.001",""
"fat_body_mass_kg (mean (SD))"," 19.05 (7.66)"," 16.94 (6.87)","<0.001",""
"lean_body_mass_kg (mean (SD))"," 43.92 (8.21)"," 42.68 (7.59)","<0.001",""
"sbp_mean (mean (SD))","141.27 (23.94)","130.60 (21.01)","<0.001",""
"sbp_group (%)"," ","","<0.001",""
"   <120","  4022 (17.3) ","159153 (32.5) ","",""
"   120-139","  8057 (34.6) ","193503 (39.5) ","",""
"   =140"," 11199 (48.1) ","136792 (27.9) ","",""
"random_glucose (mean (SD))","  6.89 (3.17)","  6.03 (2.28)","<0.001",""
"random_glucose_group (%)"," ","","<0.001",""
"   <5.8","  9784 (42.0) ","276123 (56.4) ","",""
"   5.8-7.7","  9019 (38.7) ","164425 (33.6) ","",""
"   7.8-11","  2529 (10.9) "," 26877 ( 5.5) ","",""
"   =11","  1946 ( 8.4) "," 22023 ( 4.5) ","",""
